ROK,WEB_PUBL_DATE,MENA,R1_AREA,R1_POPIS_LNG,S1_POPIS_LNG,H_HODNOTA_PUBL
2019,2021-03-16 10:00:00,EUR,JP,Japan,Reinvestment of earnings,644.661335812672
2019,2021-03-16 10:00:00,USD,JP,Japan,Reinvestment of earnings,724.143253746519
2020,2022-03-23 10:00:00,CZK,JP,Japan,Reinvestment of earnings,18229.986925
2020,2022-03-23 10:00:00,EUR,JP,Japan,Reinvestment of earnings,694.607998666413
2020,2022-03-23 10:00:00,USD,JP,Japan,Reinvestment of earnings,852.386352690887
2021,2023-03-23 10:00:00,CZK,JP,Japan,Reinvestment of earnings,15183.7914468
2021,2023-03-23 10:00:00,EUR,JP,Japan,Reinvestment of earnings,610.771980965406
2021,2023-03-23 10:00:00,USD,JP,Japan,Reinvestment of earnings,691.712971928386
2014,2016-03-22 10:00:00,CZK,JP,Japan,Other capital,4193.971
2014,2016-03-22 10:00:00,EUR,JP,Japan,Other capital,151.270369702435
2014,2016-03-22 10:00:00,USD,JP,Japan,Other capital,183.672199351844
2015,2017-03-21 10:00:00,CZK,JP,Japan,Other capital,5063.873
2015,2017-03-21 10:00:00,EUR,JP,Japan,Other capital,187.377354301573
2015,2017-03-21 10:00:00,USD,JP,Japan,Other capital,203.991016757976
2016,2018-03-16 10:00:00,CZK,JP,Japan,Other capital,5257.947
2016,2018-03-16 10:00:00,EUR,JP,Japan,Other capital,194.594633604737
2016,2018-03-16 10:00:00,USD,JP,Japan,Other capital,205.076134014587
2017,2019-03-15 10:00:00,CZK,JP,Japan,Other capital,5724.285
2017,2019-03-15 10:00:00,EUR,JP,Japan,Other capital,224.130187940486
2017,2019-03-15 10:00:00,USD,JP,Japan,Other capital,268.859377201634
2018,2020-03-13 10:00:00,CZK,JP,Japan,Other capital,7071.221
2018,2020-03-13 10:00:00,EUR,JP,Japan,Other capital,274.87739552964
2018,2020-03-13 10:00:00,USD,JP,Japan,Other capital,314.752114306062
2019,2021-03-16 10:00:00,CZK,JP,Japan,Other capital,8398.151
2019,2021-03-16 10:00:00,EUR,JP,Japan,Other capital,330.505745769382
2019,2021-03-16 10:00:00,USD,JP,Japan,Other capital,371.254630652933
2020,2022-03-23 10:00:00,CZK,JP,Japan,Other capital,9301.95
