"","year","country.x","gp","npos","nneg","nneu","nmention","log_senti","add_senti","import","export","merleg","eu","n_merleg","n_import","n_export","leftright","valasztasi_ev"
"118","2003","Czechia","UK",46,39,60,145,0.163151640686235,0.0482758620689655,1389384.474,2621505.803,1232121.329,0,-0.604911757099048,-0.790167106372492,-0.678538359207267,0,0
"119","2003","Czechia","USA",95,50,256,401,0.63715291120537,0.112219451371571,1594225.24,1189394.328,-404830.912,0,-0.719908928597383,-0.63755839204312,-0.717585905535232,0,0
"120","2003","Czechia","CN",2,3,7,12,-0.336472236621213,-0.0833333333333333,2681354.656,243341.505,-2438013.151,0,0.764272906716581,-0.768175070428968,-0.785749660175387,0,0
"121","2003","Czechia","DE",74,113,144,331,-0.421003711535944,-0.117824773413897,16685346.103,18025634.572,1340288.469,0,-0.834043564232326,-0.645589762809254,-0.72889524262653,0,0
"122","2003","Hungary","UK",16,10,40,66,0.451985123743057,0.0909090909090909,1292623,1970647,678024,0,-0.738254212338732,-0.336354008368265,-0.636071241695386,0,0
"123","2003","Hungary","RU",33,30,36,99,0.0938187552176549,0.0303030303030303,2957333,653165,-2304168,0,0.202630443166547,-0.566115069151718,-1.00432101140294,0,0
"124","2003","Hungary","FR",62,6,69,137,2.26336437984076,0.408759124087591,2288787,2473362,184575,0,-0.457787675426002,-0.477143989481941,-0.518185813305517,0,0
"125","2003","Hungary","USA",62,35,141,238,0.565633860260986,0.113445378151261,1530544,1349112,-181432,0,-1.28171222684041,-0.0463143940582033,-0.71441763008264,0,0
"126","2003","Hungary","DE",51,48,52,151,0.060018009726253,0.0198675496688742,11682106,14595414,2913308,0,0.394841508821266,-0.709720156757938,-0.576956167163859,0,0
"127","2003","Hungary","CN",5,15,16,36,-1.03609193168678,-0.277777777777778,3298099,178082,-3120017,0,-0.106760581119692,-0.248032332759697,-0.950919253064388,0,0
"128","2004","Croatia","CN",7,2,4,13,1.09861228866811,0.384615384615385,635628.168,7199.027,-628429.141,0,0.8953821945014,-1.06547321246896,-1.28147825724279,1,0
"129","2004","Croatia","DE",26,5,31,62,1.57239664075375,0.338709677419355,2568929.266,895157.559,-1673771.707,0,0.464230501892714,-1.09254938860066,-1.2086267801095,1,0
"130","2004","Croatia","USA",29,1,43,73,2.97892515523761,0.383561643835616,362680.3,211158.78,-151521.52,0,-0.780167361120993,0.140904909512474,-1.47252973104422,1,0
"131","2004","Croatia","UK",7,0,3,10,2.70805020110221,0.7,319570.286,95996.999,-223573.287,0,-1.18867852598317,-0.16581535011091,-2.09574698165182,1,0
